"phecode","ICD","flag"
"ID_005","A18.11",10
"ID_005","013.02",9
"ID_005","A30",10
"ID_005","A30.9",10
"ID_005",647.34,9
"ID_005","015.10",9
"ID_005","015.20",9
"ID_005","011.24",9
"ID_005","015.50",9
"ID_005","015.60",9
"ID_005","015.70",9
"ID_005","011.44",9
"ID_005","015.80",9
"ID_005","011.51",9
"ID_005","015.90",9
"ID_005","016.0",9
"ID_005","016.1",9
"ID_005","016.2",9
"ID_005","016.3",9
"ID_005","016.4",9
"ID_005","011.84",9
"ID_005","016.5",9
"ID_005","016.6",9
"ID_005","012.1",9
"ID_005","012.3",9
"ID_005","012.33",9
"ID_005","012.8",9
"ID_005","013.14",9
"ID_005","013.24",9
"ID_005","013.40",9
"ID_005","010.01",9
"ID_005","013.50",9
"ID_005","010.13",9
"ID_005","013.86",9
"ID_005","010.85",9
"ID_005","013.96",9
"ID_005","014.03",9
"ID_005","014.81",9
"ID_005","011.04",9
"ID_005","015.00",9
"ID_005","A18.03",10
"ID_005","013.04",9
"ID_005",137.3,9
"ID_005","011.21",9
"ID_005","030.1",9
"ID_005","011.41",9
"ID_005","011.53",9
"ID_005","B90.1",10
"ID_005","011.81",9
"ID_005","016.64",9
"ID_005","016.74",9
"ID_005","012.24",9
"ID_005","016.94",9
"ID_005","017.1",9
"ID_005","O98.0",10
"ID_005","017.25",9
"ID_005","A18.6",10
"ID_005","017.35",9
"ID_005","A18.89",10
"ID_005","017.45",9
"ID_005","017.55",9
"ID_005","017.65",9
"ID_005","010",9
"ID_005","017.75",9
"ID_005","017.85",9
"ID_005","017.95",9
"ID_005","010.15",9
"ID_005","018.04",9
"ID_005","010.82",9
"ID_005","018.84",9
"ID_005","018.94",9
"ID_005","014.00",9
"ID_005","011.01",9
"ID_005","031.0",9
"ID_005","A15.6",10
"ID_005","A18.10",10
"ID_005","013.06",9
"ID_005","A30.8",10
"ID_005","015.1",9
"ID_005","011.16",9
"ID_005","015.2",9
"ID_005","015.5",9
"ID_005","015.6",9
"ID_005","011.36",9
"ID_005","015.7",9
"ID_005","015.8",9
"ID_005","015.9",9
"ID_005","011.55",9
"ID_005","016",9
"ID_005","016.06",9
"ID_005","016.16",9
"ID_005","016.26",9
"ID_005","016.36",9
"ID_005","016.46",9
"ID_005","016.56",9
"ID_005","011.96",9
"ID_005","012.21",9
"ID_005","017.04",9
"ID_005","A18.53",10
"ID_005","013.13",9
"ID_005","013.23",9
"ID_005","013.4",9
"ID_005","013.5",9
"ID_005","013.6",9
"ID_005","010.8",9
"ID_005","013.85",9
"ID_005","013.95",9
"ID_005","011",9
"ID_005","014.80",9
"ID_005","015.0",9
"ID_005","A15.0",10
"ID_005","A18.02",10
"ID_005","017.10",9
"ID_005","O98.01",10
"ID_005","011.13",9
"ID_005","030.0",9
"ID_005","031.1",9
"ID_005","011.33",9
"ID_005","011.6",9
"ID_005","B90",10
"ID_005","011.63",9
"ID_005","011.7",9
"ID_005","011.93",9
"ID_005","016.63",9
"ID_005","012.16",9
"ID_005","016.73",9
"ID_005","016.93",9
"ID_005","017.01",9
"ID_005","A18.2",10
"ID_005","012.86",9
"ID_005","017.24",9
"ID_005","A18.59",10
"ID_005","017.34",9
"ID_005","A18.85",10
"ID_005","017.44",9
"ID_005","017.54",9
"ID_005","017.64",9
"ID_005","013.34",9
"ID_005","017.74",9
"ID_005","017.84",9
"ID_005","017.94",9
"ID_005","018.03",9
"ID_005","018.83",9
"ID_005","018.93",9
"ID_005","010.94",9
"ID_005",137.1,9
"ID_005","A18.1",10
"ID_005","013.60",9
"ID_005","A30.5",10
"ID_005","A31.9",10
"ID_005","015.16",9
"ID_005","015.26",9
"ID_005","011.30",9
"ID_005","015.56",9
"ID_005","015.66",9
"ID_005","015.76",9
"ID_005","015.86",9
"ID_005","015.96",9
"ID_005","016.05",9
"ID_005","B92",10
"ID_005","016.15",9
"ID_005","011.71",9
"ID_005","016.25",9
"ID_005","016.35",9
"ID_005","016.45",9
"ID_005","011.90",9
"ID_005","016.55",9
"ID_005","012.13",9
"ID_005","A15.9",10
"ID_005","012.32",9
"ID_005","012.36",9
"ID_005","017.11",9
"ID_005","012.83",9
"ID_005","O98.011",10
"ID_005","013.12",9
"ID_005","013.22",9
"ID_005","013.31",9
"ID_005","013.46",9
"ID_005","010.05",9
"ID_005","013.56",9
"ID_005","013.84",9
"ID_005","013.94",9
"ID_005","010.91",9
"ID_005","014.8",9
"ID_005","015",9
